"","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1.Yes","HOME_VAL","MSTATUS.Yes","SEX.z_F","EDUCATION..High.School","EDUCATION.Bachelors","EDUCATION.Masters","EDUCATION.PhD","JOB.Clerical","JOB.Doctor","JOB.Home.Maker","JOB.Lawyer","JOB.Manager","JOB.Professional","JOB.Student","JOB.z_Blue.Collar","TRAVTIME","CAR_USE.Private","BLUEBOOK","TIF","CAR_TYPE.Minivan","CAR_TYPE.Panel.Truck","CAR_TYPE.Sports.Car","CAR_TYPE.Van","CAR_TYPE.z_SUV","RED_CAR.yes","OLDCLAIM","CLM_FREQ","REVOKED.Yes","MVR_PTS","CAR_AGE","URBANICITY.Highly.Urban..Urban"
"2609",0,0,1,39,2,14,3520,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,304,7,1,0,0,0,0,0,2009,1,0,0,1,1
"4069",0,0,0,49,0,10,1170,0,4601,1,1,0,0,0,1,0,1,0,0,0,0,0,0,25,1,1627,4,1,0,0,0,0,0,1,0,0,0,14,1
"2369",0,0,0,35,2,15,3371,0,1240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,22,1,651,3,0,0,1,0,0,0,1,0,1,0,15,1
"5273",0,0,2,45,3,16,569,0,3824,1,0,0,0,1,0,0,0,0,1,0,0,0,0,48,1,338,13,1,0,0,0,0,1,1,0,0,3,17,1
"1098",1,1669,0,51,0,11,4945,0,1200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,35,1,989,4,0,0,0,1,0,1,1,0,0,0,1,1
"1252",0,0,0,36,0,8,5088,0,2476,1,1,0,0,0,1,0,1,0,0,0,0,0,0,31,1,2629,7,0,0,0,0,1,0,1581,1,0,0,10,1
"634",0,0,0,40,2,9,2550,0,706,1,0,1,0,0,0,1,0,0,0,0,0,0,0,29,1,983,14,0,0,0,1,0,1,1,0,0,0,1,1
"2097",0,0,0,34,1,10,4209,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,44,1,849,4,0,0,0,0,1,0,1175,2,1,2,1,1
"5248",1,3726,2,38,2,12,127,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,28,1,559,6,0,0,0,0,1,0,1807,2,0,5,1,1
"5423",0,0,0,23,0,9,2759,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,27,1,571,1,1,0,0,0,0,1,2353,3,0,1,23,1
